NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NFAM1	NFAM1	0	2.585998058319092	0.004057214	No	
row_1	UBD	UBD	2	1.8902114629745483	0.0069748014	No	
row_2	CXCL3	CXCL3	6	1.6215404272079468	0.009374874	No	
row_3	FOXS1	FOXS1	7	1.6090643405914307	0.01189936	No	
row_4	CDH9	CDH9	10	1.4956430196762085	0.014149907	No	
row_5	ROS1	ROS1	13	1.4322577714920044	0.016301006	No	
row_6	IL15	IL15	15	1.4246745109558105	0.018488206	No	
row_7	VILL	VILL	16	1.4071201086044312	0.02069586	No	
row_8	RAB42	RAB42	23	1.2393968105316162	0.022352392	No	
row_9	MSC	MSC	27	1.1971666812896729	0.024086658	No	
row_10	KRT8	KRT8	37	1.0547393560409546	0.02530949	No	
row_11	PPP1R36	PPP1R36	40	1.0465567111968994	0.026855458	No	
row_12	CXCL5	CXCL5	44	1.038547158241272	0.028340861	No	
row_13	MSLN	MSLN	48	1.0307141542434692	0.029813977	No	
row_14	KIF6	KIF6	65	0.960747241973877	0.03055337	No	
row_15	VAT1L	VAT1L	66	0.9593493938446045	0.03205851	No	
row_16	HEPHL1	HEPHL1	72	0.9415603280067444	0.033295758	No	
row_17	PDCD1LG2	PDCD1LG2	78	0.9058223366737366	0.034476936	No	
row_18	SLC15A3	SLC15A3	86	0.8894743919372559	0.035536475	No	
row_19	HIST1H2AI	HIST1H2AI	89	0.8705594539642334	0.036806315	No	
row_20	SIAH3	SIAH3	95	0.8469640612602234	0.03789515	No	
row_21	CD55	CD55	100	0.8414934277534485	0.0390234	No	
row_22	SLC39A4	SLC39A4	102	0.832980751991272	0.04028228	No	
row_23	MOCOS	MOCOS	115	0.8102125525474548	0.04097748	No	
row_24	PRR16	PRR16	116	0.8071213364601135	0.042243786	No	
row_25	GATA6	GATA6	117	0.8053361177444458	0.043507293	No	
row_26	KMO	KMO	133	0.7855698466300964	0.044019844	No	
row_27	RBM46	RBM46	134	0.7844414710998535	0.045250565	No	
row_28	SLC16A11	SLC16A11	143	0.7785684466362	0.046088107	No	
row_29	CCL11	CCL11	156	0.7710049152374268	0.046721794	No	
row_30	MYH15	MYH15	161	0.7637938261032104	0.047728136	No	
row_31	MGP	MGP	163	0.7610816359519958	0.048874214	No	
row_32	BCL3	BCL3	167	0.7564135193824768	0.049916975	No	
row_33	STAP2	STAP2	178	0.7286959886550903	0.050580278	No	
row_34	PDGFD	PDGFD	180	0.725885272026062	0.051671132	No	
row_35	PARD6B	PARD6B	188	0.7181786298751831	0.052461922	No	
row_36	AQP5	AQP5	192	0.7105926275253296	0.053432796	No	
row_37	PLCB2	PLCB2	199	0.6978386044502258	0.054239668	No	
row_38	CASP4	CASP4	204	0.6931626796722412	0.055135198	No	
row_39	CYGB	CYGB	213	0.6757643222808838	0.055811446	No	
row_40	CLDN11	CLDN11	222	0.6669489741325378	0.056473862	No	
row_41	TPH1	TPH1	224	0.6636210680007935	0.057467032	No	
row_42	C3	C3	228	0.6597525477409363	0.05835814	No	
row_43	STAT4	STAT4	243	0.6249496936798096	0.058666687	No	
row_44	DPPA4	DPPA4	258	0.6141960620880127	0.058958363	No	
row_45	RAB20	RAB20	261	0.6136395335197449	0.059825122	No	
row_46	TMPRSS2	TMPRSS2	267	0.6106431484222412	0.060543187	No	
row_47	BDKRB1	BDKRB1	272	0.6081927418708801	0.061305407	No	
row_48	DEF6	DEF6	278	0.6066850423812866	0.062017262	No	
row_49	TMEM45B	TMEM45B	296	0.5978275537490845	0.06213927	No	
row_50	HSPB2	HSPB2	299	0.5965593457221985	0.06297923	No	
row_51	DAPK2	DAPK2	303	0.5956720113754272	0.0637698	No	
row_52	HNF1B	HNF1B	316	0.5930963158607483	0.06412437	No	
row_53	SERPINB7	SERPINB7	317	0.5928264856338501	0.06505446	No	
row_54	MMP20	MMP20	320	0.5919429063796997	0.065887176	No	
row_55	KRT18	KRT18	322	0.591528594493866	0.06676724	No	
row_56	CPA6	CPA6	326	0.5902831554412842	0.067549355	No	
row_57	CRACR2A	CRACR2A	329	0.5898146033287048	0.06837873	No	
row_58	LRTM1	LRTM1	332	0.5890831351280212	0.06920696	No	
row_59	PTGES	PTGES	341	0.5868707895278931	0.069743745	No	
row_60	TESPA1	TESPA1	345	0.5864931344985962	0.07051992	No	
row_61	CD96	CD96	378	0.5826311707496643	0.069898136	No	
row_62	CYP11A1	CYP11A1	392	0.5810521245002747	0.07018581	No	
row_63	TBXAS1	TBXAS1	413	0.5774499177932739	0.07013185	No	
row_64	ELF5	ELF5	418	0.575485110282898	0.07084276	No	
row_65	PTGIS	PTGIS	427	0.5699527263641357	0.071352996	No	
row_66	ABCC3	ABCC3	432	0.5654723644256592	0.072048195	No	
row_67	TLL1	TLL1	435	0.5642264485359192	0.07283743	No	
row_68	LCN2	LCN2	436	0.5634580254554749	0.07372144	No	
row_69	STEAP4	STEAP4	437	0.5627334713935852	0.074604325	No	
row_70	FER1L5	FER1L5	438	0.5621404647827148	0.07548627	No	
row_71	MEOX1	MEOX1	440	0.5610305666923523	0.07631849	No	
row_72	SYK	SYK	441	0.5609690546989441	0.0771986	No	
row_73	AFP	AFP	446	0.5560500621795654	0.07787901	No	
row_74	IFITM10	IFITM10	447	0.5556401014328003	0.07875077	No	
row_75	TMEM92	TMEM92	448	0.5549461841583252	0.07962143	No	
row_76	TBX18	TBX18	457	0.5503941178321838	0.08010098	No	
row_77	LRRC2	LRRC2	466	0.5427606105804443	0.08056856	No	
row_78	IGFBP7	IGFBP7	470	0.5396952629089355	0.081271306	No	
row_79	TRIM38	TRIM38	474	0.5387383699417114	0.081972554	No	
row_80	GALNT6	GALNT6	478	0.536799967288971	0.08267076	No	
row_81	CASP1	CASP1	480	0.5356295704841614	0.083463125	No	
row_82	CTSH	CTSH	482	0.5342323184013367	0.08425329	No	
row_83	PPFIA2	PPFIA2	483	0.5332548022270203	0.08508992	No	
row_84	VDR	VDR	484	0.5328125357627869	0.08592586	No	
row_85	ZMYND12	ZMYND12	485	0.5323752760887146	0.08676112	No	
row_86	KCNN4	KCNN4	487	0.5283825397491455	0.08754211	No	
row_87	SERPING1	SERPING1	497	0.5250215530395508	0.08793385	No	
row_88	FYB	FYB	499	0.5230323076248169	0.088706456	No	
row_89	MYL1	MYL1	501	0.5215190649032593	0.089476675	No	
row_90	ELF3	ELF3	503	0.521215558052063	0.090246424	No	
row_91	CD40	CD40	505	0.520534873008728	0.0910151	No	
row_92	ICAM1	ICAM1	511	0.5167181491851807	0.09158581	No	
row_93	ABI3BP	ABI3BP	516	0.5131040811538696	0.09219884	No	
row_94	LAD1	LAD1	522	0.5097995400428772	0.09275869	No	
row_95	HEPH	HEPH	530	0.5057333111763	0.09321617	No	
row_96	ST6GALNAC1	ST6GALNAC1	532	0.5051957964897156	0.09396079	No	
row_97	MCOLN2	MCOLN2	534	0.5048832297325134	0.09470491	No	
row_98	TNFSF15	TNFSF15	541	0.49665242433547974	0.09519614	No	
row_99	ITGB4	ITGB4	542	0.4964817464351654	0.09597508	No	
row_100	EPGN	EPGN	552	0.49228397011756897	0.096315466	No	
row_101	FSCN2	FSCN2	561	0.4873145520687103	0.09669605	No	
row_102	LBHD1	LBHD1	563	0.48685920238494873	0.0974119	No	
row_103	NLRP10	NLRP10	571	0.4827535152435303	0.09783332	No	
row_104	EXOC3L4	EXOC3L4	574	0.48130860924720764	0.098492466	No	
row_105	BST1	BST1	578	0.48025333881378174	0.09910195	No	
row_106	EPS8L2	EPS8L2	581	0.4796282947063446	0.09975845	No	
row_107	RP1	RP1	584	0.47888338565826416	0.10041379	No	
row_108	KCNG4	KCNG4	587	0.4783066213130951	0.10106822	No	
row_109	JAK3	JAK3	589	0.4772412180900574	0.10176898	No	
row_110	LOXL1	LOXL1	596	0.47307881712913513	0.102223225	No	
row_111	UBXN10	UBXN10	606	0.4694960415363312	0.10252786	No	
row_112	FAM163A	FAM163A	611	0.467855840921402	0.1030699	No	
row_113	METTL21B	METTL21B	619	0.46561458706855774	0.10346444	No	
row_114	TNFSF4	TNFSF4	621	0.4649617075920105	0.10414593	No	
row_115	CCDC60	CCDC60	624	0.46443790197372437	0.104778595	No	
row_116	TRIM43B	TRIM43B	625	0.46416693925857544	0.10550684	No	
row_117	RHBDL2	RHBDL2	626	0.46403005719184875	0.10623486	No	
row_118	TNIP3	TNIP3	632	0.4624038636684418	0.10672035	No	
